NR IMOVEL;NR INCRA;CEP
93776195;9510808334101;15763000
93776268;9510805874601;38860000
93776330;9510727008943;57760000
93776349;9510809552560;58278000
93776527;9510809276601;45445000
93776594;9501654935892;69926000
93776608;9510808431301;75280000
93776640;9510809654991;45970000
93776675;9510809774890;64568000
93776721;9510805458640;13960000
93776772;9510809348289;63620000
93776853;9510805360918;68530000
93776900;9510487009327;78658000
93776918;9510139003897;86900000
93776942;9510807494784;64295000
93777027;9510804000098;46330000
93777043;9510481134502;29730000
93777094;9510138904998;86900000
55143490;1120460277310;65600010
93777116;9999463478929;56200000
93777124;9501816019771;56200000
93777140;9510809696210;59215000
93777175;9510809104304;29640000
93777205;9510561262099;64000010
93777299;9999897479630;69931000
93777310;9510809817610;69151970
93777361;9510809499651;45170000
93777370;9510809692060;45170000
93777388;9510809689353;45170000
93777400;9510138137881;99270002
93777434;9510809500684;46200000
93777515;9510219031751;36544000
93777558;4020360145404;39500000
93777566;9501819340627;65924000
93777574;9510809456251;89874000
93777582;9501737929770;89560001
32134436;4272330235823;35993000
18323855;4331520170198;36930000
26400405;4380570033443;37997000
23636017;4381460078030;37968000
93777612;9510807480481;89469899
93777620;9510809671578;89874000
93777639;9510300782478;96610000
93777655;9510809063101;13670000
25299298;4461570010745;37655000
93777671;9510647949372;44925000
93777680;9510647944907;44925000
93777698;9510647942360;44925000
93777728;9510647939229;44925000
93777752;8160430327433;89340000
56823401;0000271563531;76235000
02269376;5020490060846;29720000
03804844;7070150089070;84990000
93777779;8153900024100;89862000
93777809;9510647951512;44925000
62462768;8580800074989;95840000
93777850;7111600179146;84935000
93777876;9510647935665;44925000
93777906;7111600104995;84935000
93777922;4351120201257;35570001
93777949;9999381805301;96745000
93777965;9510808411963;86610000
93777973;9510808824109;18739899
47285400;9261320296537;76400000
93777990;8160270177367;89478000
93778007;9501816284769;63610000
15282406;4240720130217;35530000
93778031;9510809457304;75680001
93778074;9510809747221;63590000
93778082;9510808146364;98350000
84494506;9999895386634;78795000
93778104;9510648007591;44925000
93778120;9510809715028;89186000
93778139;9510648011947;44925000
93778147;9510804922726;99360000
93778163;9501496454270;34515000
10215425;8650360087887;98140000
93778244;9510809671306;89309899
93778260;9510807549945;64295000
93778279;9510809327877;95730000
93778309;9510809734243;65320000
93778317;9510809665926;65320000
93778333;9510649452777;89278000
93778341;9510809523200;47300000
81538898;9501228683967;39318000
93778368;9510809606750;65320000
93778511;9999708598933;63515000
93778570;9999708514420;63515000
93778619;9999708511161;63515000
85891134;9502035998401;64868000
93778694;9999709434608;63515000
93778767;9510809720889;13710000
93778791;9510564990486;77680000
93778805;9510990520942;57750000
93778813;8630170502887;96570000
93778821;9510809604544;76304000
93778872;9510729270319;77675000
93778899;9510809692656;78652000
93778902;9510809691250;78652000
93778910;9501067333693;35001970
93778937;9510809456685;75680001
93778945;9510802065478;65195000
93778970;9510808584205;17160000
93778988;9510809321402;35001970
93778996;9510809584250;37275000
93779003;9510809310800;68380000
93779046;8130520119248;89515000
93779054;9510805314053;76400000
93779127;9501228943381;64700000
93779135;9999708507482;63515000
93779151;9510805364662;76400000
93779186;9510809536441;29390000
93779208;9510809468853;38748899
93779259;9510216194005;38700001
93779267;9510563961172;62990000
93779275;8050840149745;89515000
93779348;9501814125116;89172000
47038845;1300950241044;64760000
93779402;9999623422895;83501000
93779453;9510990180904;44798000
93779488;9510800861692;75940000
34138331;8671440323368;98780001
93779542;9999387865276;62570000
93779569;9510809177883;89620000
93779585;9510802512911;26900000
93779623;9510807064348;84640000
93779631;9510137852102;77495000
93779640;9241300351492;77500000
33598550;8050250144438;95670000
93779658;9510210950100;62570000
93779720;9510809295304;59700000
93779739;9510809589219;45375000
93779763;9999895456608;37542000
44034652;6161170029173;16270000
93779798;9510809684394;76470000
93779895;9510805941562;17120001
93779909;9510809042791;17180000
59603534;7210340755901;85826000
93780028;9501490541600;49480000
93780060;9510809579094;37589000
93780133;9510808850290;14900000
93780214;9510809776167;47900000
93780222;9501656447658;65393000
93780257;9510809516173;65393000
93780273;9510809526217;85750000
93780303;9501493358512;47650000
93780354;9501732617932;65393000
93780362;9510569908508;62375000
93780389;9510805944073;17120001
93780419;9510809964400;35300001
93780451;3241670086648;45600002
93780508;9510806597709;65580000
93780524;9510806554651;65580000
93780532;9510808129940;85168000
93780540;9510806551040;65578000
93780559;9510805944820;17120001
93780567;9510806728234;65580000
93780583;9510806589951;65580000
93780591;9510809806414;48440000
93780621;9510563393182;47940000
93780648;9510806587908;65580000
93780664;9510806706770;65578000
93780680;9510805943182;17120001
